kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
7938496,CONFIRMED,13.81020318,1309.7,3.048,4.56,5942.0,1.142,15.425
8490993,CONFIRMED,4.093578461,538.6,2.5833,2.85,6077.0,0.999,15.399
8490993,CONFIRMED,105.145959,685.4,8.593,3.43,6077.0,0.999,15.399
8505670,CONFIRMED,10.8484518,1675.6,2.9993,2.34,4201.0,0.591,15.058
8505670,CONFIRMED,6.66833241,362.3,1.915,1.18,4201.0,0.591,15.058
8544996,CONFIRMED,4.082274889,17859.2,3.23015,10.55,5655.0,0.794,15.198
8150320,CONFIRMED,42.1406089,895.5,5.083,1.85,4500.0,0.646,15.791
8150320,CONFIRMED,4.617490562,575.8,2.2618,1.62,4500.0,0.646,15.791
8150320,CONFIRMED,10.19849255,634.1,2.4283,1.75,4500.0,0.646,15.791
8180063,FALSE POSITIVE,5.795063956,1692.9,3.2496,4.33,5865.0,0.827,15.289
8226994,CONFIRMED,7.15681552,867.0,2.5882,2.47,5029.0,0.838,15.46
8226994,CONFIRMED,17.64830851,763.3,2.0873,2.43,5029.0,0.838,15.46
8226994,CONFIRMED,4.14810719,175.2,2.535,1.08,5029.0,0.838,15.46
8247638,CONFIRMED,16.51410989,973.5,4.1575,2.72,5527.0,0.866,15.223
8247638,CONFIRMED,30.1329298,1015.8,5.172,3.14,5527.0,0.866,15.223
8247638,CONFIRMED,4.79090809,251.3,2.603,1.36,5527.0,0.866,15.223
11086270,CONFIRMED,31.71981013,363.4,4.819,3.09,5869.0,1.626,12.935
8247638,CONFIRMED,99.6415962,952.5,4.448,2.64,5527.0,0.866,15.223
8255887,CONFIRMED,4.708326451,7912.7,3.16114,10.6,5560.0,1.21,15.113
8256049,FALSE POSITIVE,16.37198661,4147.6,3.8449,540.37,4187.0,0.592,15.654
8414716,CONFIRMED,5.392026903,1151.4,2.9804,2.68,5198.0,0.801,15.651
9141746,CONFIRMED,6.491682808,7163.3,4.301,9.66,6123.0,1.107,15.649
9159275,FALSE POSITIVE,3.044770796,1695.0,10.0134,24.54,5525.0,0.753,15.621
9166862,CONFIRMED,3.855603916,16652.7,3.2179,13.61,6033.0,1.046,15.272
9166870,FALSE POSITIVE,3.855599139,1030.9,3.183,3.57,5936.0,0.965,15.054
11449844,CONFIRMED,38.47876629,23530.0,5.04169,13.26,5510.0,0.879,13.779
