koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,ra,dec,target_planet,mission,tid,toi
1.3214483,2.31e-05,-2.31e-05,2459303.303969,0.003015,-0.003015,3.435,0.071,-0.071,2180.0,137.946,-137.946,21.8839,4.01475,-4.01475,3827.0,35623.2,,,5050.8,86.8,-86.8,3.56,0.4,-0.4,2.99,0.15,-0.15,9.697,120.837688,-51.345626,0,TESS,238374636,1023.01
18.0157,0.00015,-0.00015,2458339.72276,0.00592,-0.00592,2.524,0.403,-0.403,610.0,1.66317,-1.66317,21.644,0.6872333500000001,-0.6872333500000001,463.0,7.64364,,,4709.0,122.0,-122.0,4.36,0.0852564,-0.0852564,7.61,0.06,-0.06,10.0814,86.820714,-72.422611,0,TESS,141482386,1024.01
9.6837908,1.3e-06,-1.3e-06,2460733.686688,0.000137,-0.000137,1.6988586,0.1234614,-0.1234614,4965.2496516,45.5800842,-45.5800842,25.3602704,0.4591244,-0.4591244,1985.0771972,2575.8141907,,,8598.7,1245.7,-1245.7,4.36,0.0852564,-0.0852564,1.2,0.06,-0.06,5.5324,142.521159,-51.517114,0,TESS,297967252,1025.01
14.2628757,3.85e-05,-3.85e-05,2460720.807674,0.00363,-0.00363,6.9350494,0.466316,-0.466316,913.2067174,37.2772746,-37.2772746,2.4765813,0.1510812,-0.1510812,980.3628831,153.2069421,,,5690.0,129.0,-129.0,4.58,0.08,-0.08,0.853898,0.0413895,-0.0413895,9.9138,125.434634,-51.759442,0,TESS,388624270,1026.01
1.01606,0.00034,-0.00034,2458544.48066,0.00412,-0.00412,2.843,0.278,-0.278,240.0,0.375709,-0.375709,1.20704,0.0989898,-0.0989898,2023.0,2784.04,,,4634.0,120.9,-120.9,4.64,0.09,-0.09,0.68,0.05,-0.05,7.9059,157.098337,-51.705409,0,TESS,447283466,1028.01
36.22214,0.00046,-0.00046,2458365.89313,0.00096,-0.00096,5.107,0.188,-0.188,7170.0,228.173,-228.173,9.43898,0.6872333500000001,-0.6872333500000001,1245.1929616500001,477.24699895,,,5778.2,131.1,-131.1,4.36,0.0852564,-0.0852564,1.2,0.06,-0.06,6.841,88.73909,-65.958839,0,TESS,374908020,1029.01
3.547854,0.000149,-0.000149,2458327.25256,0.000586,-0.000586,3.494333,0.049205,-0.049205,10424.3718,123.359314,-123.359314,14.581841,0.196435,-0.196435,1504.858953,1212.004376,,,6351.0,131.1,-131.1,4.22896,0.0852564,-0.0852564,1.4,0.06,-0.06,11.5232,312.457488,-24.428694,1,TESS,336732616,103.01
12.1246519,1.03e-05,-1.03e-05,2460054.783937,0.000628,-0.000628,4.612,0.667,-0.667,7279.0,6484.95,-6484.95,17.6729,2.59688,-2.59688,1057.0,207.32,,,4807.6,60.0,-60.0,4.17,0.36,-0.36,1.07,0.03,-0.03,9.5706,155.831478,-57.590248,0,TESS,464296022,1030.01
7.14386,0.00054,-0.00054,2458655.54872,0.00098,-0.00098,1.467,0.223,-0.223,11146.4,53.8514,-53.8514,22.1531,1.97652,-1.97652,1245.1929616500001,477.24699895,,,7860.0,220.0,-220.0,4.15,0.07,-0.07,1.91,0.11,-0.11,9.941,274.221618,-68.197779,0,TESS,295599256,1108.01
7.04083,3e-05,-3e-05,2459083.35168,0.00176,-0.00176,2.979,0.235,-0.235,1580.0,458.747,-458.747,8.46404,2.20234,-2.20234,1505.0,852.336,,,5317.0,65.7,-65.7,4.49,0.08,-0.08,0.91,0.05,-0.05,9.7906,30.198486,-77.610376,0,TESS,50309953,1109.01
