kepid,koi_srad,koi_steff,koi_disposition
8229696,0.82,5676.0,CONFIRMED
8262210,1.205,5580.0,FALSE POSITIVE
10272640,1.075,6322.0,CONFIRMED
10232123,2.312,6324.0,FALSE POSITIVE
10223616,0.481,4457.0,FALSE POSITIVE
8415745,0.92,5908.0,FALSE POSITIVE
8378634,1.217,6506.0,FALSE POSITIVE
8397675,3.142,5679.0,FALSE POSITIVE
8346392,0.548,3968.0,CONFIRMED
8288947,0.788,5311.0,CONFIRMED
8312852,0.877,5815.0,FALSE POSITIVE
9480189,0.973,5188.0,CONFIRMED
11974540,9.327,5313.0,CONFIRMED
9480189,0.973,5188.0,CONFIRMED
9480189,0.973,5188.0,CONFIRMED
9512687,0.798,5177.0,CONFIRMED
8644288,1.055,5356.0,CONFIRMED
5738346,0.534,3900.0,FALSE POSITIVE
1725016,0.961,5922.0,CONFIRMED
1722276,2.057,5367.0,FALSE POSITIVE
892772,0.751,5037.0,FALSE POSITIVE
1027438,,,FALSE POSITIVE
10268907,0.746,5409.0,FALSE POSITIVE
5446285,0.932,5575.0,CONFIRMED
10166274,0.46,3789.0,CONFIRMED
10166274,0.46,3789.0,CONFIRMED
10166274,0.46,3789.0,CONFIRMED
10153827,0.843,5665.0,FALSE POSITIVE
5735762,0.873,5192.0,CONFIRMED
8302450,0.796,5970.0,FALSE POSITIVE
8313667,1.082,5944.0,CANDIDATE
8351704,0.389,3569.0,CONFIRMED
8299955,1.223,6180.0,FALSE POSITIVE
9513865,0.855,5052.0,CONFIRMED
9595686,0.847,5330.0,FALSE POSITIVE
9605514,1.031,6297.0,CONFIRMED
9605514,1.031,6297.0,CONFIRMED
9661877,0.958,6014.0,FALSE POSITIVE
5728283,0.898,6038.0,FALSE POSITIVE
8127639,0.893,5741.0,FALSE POSITIVE
6047498,0.762,5572.0,FALSE POSITIVE
8125580,0.502,4719.0,CONFIRMED
8158127,1.86,5897.0,CONFIRMED
10158990,0.763,5222.0,FALSE POSITIVE
10149023,1.053,6161.0,CANDIDATE
10141900,0.843,4999.0,CONFIRMED
10141900,0.843,4999.0,CONFIRMED
10141900,0.843,4999.0,CONFIRMED
8410727,1.41,6071.0,CONFIRMED
8410727,1.41,6071.0,CONFIRMED
8349405,,,FALSE POSITIVE
8278371,1.037,5718.0,CONFIRMED
8280511,0.853,5528.0,CONFIRMED
8280511,0.853,5528.0,CONFIRMED
9710326,0.461,3755.0,CONFIRMED
9761882,0.749,5474.0,CONFIRMED
5297298,1.786,6129.0,FALSE POSITIVE
9766437,0.904,5997.0,CONFIRMED
9772531,0.449,3748.0,CANDIDATE
9775938,0.885,4954.0,CONFIRMED
8644288,1.055,5356.0,CONFIRMED
8158127,1.86,5897.0,CONFIRMED
8176653,0.764,5238.0,FALSE POSITIVE
8174625,0.966,5568.0,CONFIRMED
8183911,2.124,5300.0,FALSE POSITIVE
8179973,,,FALSE POSITIVE
10157458,0.848,5795.0,CONFIRMED
4649305,1.333,6968.0,FALSE POSITIVE
10148521,0.849,5668.0,FALSE POSITIVE
10118816,0.509,3975.0,CONFIRMED
10122255,1.017,6036.0,CONFIRMED
3124412,1.133,6307.0,FALSE POSITIVE
3835670,1.412,5774.0,CONFIRMED
10287248,0.488,3801.0,FALSE POSITIVE
10351767,1.058,6340.0,FALSE POSITIVE
10295951,2.079,7226.0,CANDIDATE
10342041,0.716,5252.0,FALSE POSITIVE
10514770,0.825,5337.0,FALSE POSITIVE
9775938,0.885,4954.0,CONFIRMED
9787239,0.498,3731.0,CONFIRMED
9787239,0.498,3731.0,CONFIRMED
9787239,0.498,3731.0,CONFIRMED
9787239,0.498,3731.0,CONFIRMED
9787239,0.498,3731.0,CONFIRMED
2309719,1.255,6161.0,FALSE POSITIVE
2558363,0.714,5414.0,FALSE POSITIVE
2716853,0.86,5687.0,CONFIRMED
2445154,0.621,4502.0,FALSE POSITIVE
2715135,0.632,4252.0,CONFIRMED
8644288,1.055,5356.0,CONFIRMED
3113266,0.706,5286.0,FALSE POSITIVE
3247268,1.081,5822.0,CONFIRMED
3247268,1.081,5822.0,CONFIRMED
3232859,1.795,6089.0,FALSE POSITIVE
3098184,1.086,6384.0,FALSE POSITIVE
2720309,1.016,5973.0,FALSE POSITIVE
10342065,4.319,5438.0,FALSE POSITIVE
10352945,1.033,6341.0,FALSE POSITIVE
10354039,0.881,5043.0,CONFIRMED
10330115,0.728,5333.0,CONFIRMED
10426656,1.004,5334.0,CONFIRMED
9820483,0.922,5739.0,CONFIRMED
9941662,3.031,9107.0,CONFIRMED
7778437,1.307,6490.0,CONFIRMED
9823457,0.887,5926.0,CONFIRMED
9823457,0.887,5926.0,CONFIRMED
2574201,0.44,3687.0,FALSE POSITIVE
2166206,1.707,5949.0,FALSE POSITIVE
2164169,1.494,5821.0,CONFIRMED
2574338,1.252,6320.0,CONFIRMED
2584163,0.966,5959.0,CONFIRMED
4180280,0.776,4957.0,CONFIRMED
3239636,1.954,6151.0,FALSE POSITIVE
2721030,0.937,5957.0,CONFIRMED
3329204,0.859,5681.0,CANDIDATE
3230491,0.76,5606.0,CANDIDATE
3340070,0.864,5903.0,FALSE POSITIVE
7626506,0.812,5551.0,CONFIRMED
10426656,1.004,5334.0,CONFIRMED
10426656,1.004,5334.0,CONFIRMED
10528068,1.034,5751.0,CONFIRMED
10468940,1.002,5359.0,CONFIRMED
9825625,1.058,6321.0,CONFIRMED
9875711,0.81,4743.0,CONFIRMED
7661409,0.974,6108.0,FALSE POSITIVE
1026957,0.72,4859.0,CONFIRMED
10002261,0.116,2661.0,FALSE POSITIVE
